Price,Screen,Capacity,Connectivity,Gen
279,Mini,16GB,Wifi,Previous
379,Mini,32GB,Wifi,Previous
399,Mini,16GB,Wifi,Current
399,Air,16GB,Wifi,Previous
409,Mini,16GB,Wifi,Previous
499,Mini,64GB,Wifi,Current
499,Air,32GB,Wifi,Previous
499,Air,16GB,Wifi,Current
529,Mini,16GB,Cellular,Current
529,Air,16GB,Cellular,Previous
599,Mini,128GB,Wifi,Current
599,Mini,64GB,wifi,current
609,Mini,32GB,Cellular,Previous
629,Mini,64GB,Cellular,Current
629,Air,32GB,Cellular,Previous
629,Air,16GB,Cellular,Current
699,Air,128GB,Wifi,Current
729,Mini,128GB,Cellular,Current
729,Air,64GB,Cellular,Current
799,Pro,32GB,Wifi,Current
829,Air,128GB,Cellular,Current
949,Pro,128GB,Wifi,Current
1079,Pro,128GB,Cellular,Current
